,method,seed,k,epoch,train_test,tp,tn,fp,fn
498,original and cof,4,10,250,train,2195,2738,311,854
499,original and cof,4,10,250,test,89,85,8,4
500,original and cof,4,10,251,train,2178,2755,294,871
501,original and cof,4,10,251,test,89,85,8,4
502,original and cof,4,10,252,train,2196,2738,311,853
503,original and cof,4,10,252,test,89,85,8,4
504,original and cof,4,10,253,train,2179,2755,294,870
505,original and cof,4,10,253,test,89,85,8,4
506,original and cof,4,10,254,train,2196,2738,311,853
507,original and cof,4,10,254,test,89,85,8,4
508,original and cof,4,10,255,train,2178,2755,294,871
509,original and cof,4,10,255,test,89,85,8,4
510,original and cof,4,10,256,train,2196,2738,311,853
511,original and cof,4,10,256,test,89,85,8,4
512,original and cof,4,10,257,train,2178,2755,294,871
513,original and cof,4,10,257,test,89,85,8,4
514,original and cof,4,10,258,train,2196,2738,311,853
515,original and cof,4,10,258,test,89,85,8,4
516,original and cof,4,10,259,train,2178,2755,294,871
517,original and cof,4,10,259,test,89,85,8,4
518,original and cof,4,10,260,train,2196,2738,311,853
519,original and cof,4,10,260,test,89,85,8,4
520,original and cof,4,10,261,train,2178,2755,294,871
521,original and cof,4,10,261,test,89,85,8,4
522,original and cof,4,10,262,train,2196,2738,311,853
523,original and cof,4,10,262,test,89,85,8,4
524,original and cof,4,10,263,train,2178,2755,294,871
525,original and cof,4,10,263,test,89,85,8,4
526,original and cof,4,10,264,train,2196,2738,311,853
527,original and cof,4,10,264,test,89,85,8,4
528,original and cof,4,10,265,train,2178,2755,294,871
529,original and cof,4,10,265,test,89,85,8,4
530,original and cof,4,10,266,train,2196,2738,311,853
531,original and cof,4,10,266,test,89,85,8,4
532,original and cof,4,10,267,train,2179,2755,294,870
533,original and cof,4,10,267,test,89,85,8,4
534,original and cof,4,10,268,train,2196,2738,311,853
535,original and cof,4,10,268,test,89,85,8,4
536,original and cof,4,10,269,train,2179,2755,294,870
537,original and cof,4,10,269,test,89,85,8,4
538,original and cof,4,10,270,train,2196,2738,311,853
